Team,Average Age,Host,Continent,Goals,Home Team,Result
Brazil,Low,South America,South America,4,1,win
Switzerland,High,Africa,Europe,1,0,win
Russia,High,Europe,Europe,0,0,lose
Italy,High,North America,Europe,1,0,lose
Spain,High,Europe,Europe,6,1,win
Brazil,High,Europe,South America,2,0,win
Argentina,High,South America,South America,0,0,draw
Slovakia,High,Europe,Europe,0,0,lose
United Kingdom,High,Europe,Europe,2,0,draw
Brazil,High,South America,South America,1,0,draw
Brazil,High,Europe,South America,1,1,win
Slovakia,Low,North America,Europe,1,0,lose
Bulgaria,High,North America,Europe,2,0,lose
Uruguay,High,Africa,South America,0,1,draw
Sweden,High,Europe,Europe,0,0,lose
Spain,High,North America,Europe,3,0,win
France,High,North America,Europe,2,0,win
Spain,High,Europe,Europe,1,0,lose
Iran,High,Europe,Asia,1,0,lose
Colombia,High,South America,South America,4,0,win
Portugal,High,North America,Europe,1,1,lose
United Kingdom,High,Europe,Europe,0,0,lose
Netherlands,High,Africa,Europe,2,1,win
Brazil,High,South America,South America,0,1,lose
Russia,High,South America,Europe,4,1,draw
Bolivia,High,South America,South America,0,0,lose
Tunisia,High,Europe,Africa,0,0,lose
Portugal,High,Asia,Europe,2,0,lose
Paraguay,High,Asia,South America,3,0,win
Switzerland,High,Africa,Europe,0,1,draw
Croatia,High,Europe,Europe,3,0,win
Brazil,High,Asia,South America,2,1,win
Paraguay,High,North America,South America,1,1,win
Poland,High,Europe,Europe,0,1,draw
United Kingdom,High,Europe,Europe,2,1,win
Norway,High,North America,Europe,0,0,draw
Brazil,High,Europe,South America,0,1,lose
Costa Rica,High,Europe,North America,2,0,lose
Poland,High,Europe,Europe,0,0,draw
United Kingdom,High,Europe,Europe,2,1,win
Sweden,High,North America,Europe,3,1,win
Belgium,High,Europe,Europe,1,1,draw
Poland,High,Europe,Europe,0,1,lose
Portugal,Low,Africa,Europe,0,0,draw
Norway,High,North America,Europe,0,0,lose
United Kingdom,High,Europe,Europe,1,0,lose
France,High,Asia,Europe,0,0,lose
Costa Rica,High,Asia,North America,2,1,lose
Netherlands,High,North America,Europe,2,1,win
United Kingdom,High,North America,Europe,0,0,lose
Sweden,High,Europe,Europe,2,1,win
Chile,High,Europe,South America,0,0,lose
Serbia,High,South America,Europe,3,1,win
Denmark,High,Europe,Europe,1,0,draw
United Kingdom,High,Europe,Europe,1,0,lose
United Kingdom,High,Africa,Europe,0,1,draw
Uruguay,High,North America,South America,2,1,win
Mexico,High,Europe,North America,0,0,lose
USA,High,South America,North America,2,1,draw
Sweden,Low,North America,Europe,1,1,win
Mexico,High,Asia,North America,1,0,win
France,High,South America,Europe,0,0,draw
Slovakia,High,South America,Europe,1,1,win
Nigeria,High,North America,Africa,2,0,win
Netherlands,High,South America,Europe,5,1,win
Saudi Arabia,High,North America,Asia,1,0,win
Brazil,High,Europe,South America,3,0,win
Mexico,Low,Europe,North America,1,0,draw
Peru,High,South America,South America,1,0,lose
Tunisia,High,Europe,Africa,1,0,draw
United Kingdom,High,Europe,Europe,0,1,draw
Germany,High,South America,Europe,2,1,draw
Brazil,High,South America,South America,3,1,win
Hungary,High,Europe,Europe,1,0,lose
Switzerland,High,South America,Europe,2,1,win
Angola,High,Europe,Africa,1,0,draw
Switzerland,High,Europe,Europe,4,1,win
Spain,High,North America,Europe,2,0,win
Portugal,High,Europe,Europe,0,0,draw
Sweden,High,Europe,Europe,3,1,win
Italy,High,Europe,Europe,4,1,win
Poland,High,Europe,Europe,7,0,win
Argentina,High,Europe,South America,1,1,lose
Chile,High,South America,South America,2,0,win
Ecuador,High,South America,South America,1,0,lose
France,High,Europe,Europe,3,0,draw
United Kingdom,High,South America,Europe,0,0,lose
Morocco,High,North America,Africa,0,0,lose
Italy,High,Europe,Europe,1,1,draw
Uruguay,High,South America,South America,0,0,lose
Brazil,High,Africa,South America,1,0,lose
Algeria,High,South America,Africa,1,0,lose
Sweden,High,South America,Europe,2,0,lose
Saudi Arabia,High,North America,Asia,1,0,lose
Algeria,High,South America,Africa,4,0,win
Slovenia,High,Africa,Europe,2,1,draw
Italy,High,South America,Europe,1,0,lose
Austria,High,South America,Europe,3,1,win
Italy,High,Europe,Europe,1,1,win
Netherlands,High,Africa,Europe,3,0,win
Austria,High,Europe,Europe,1,0,draw
Netherlands,High,Africa,Europe,2,1,win
Germany,High,Europe,Europe,2,0,lose
Israel,High,North America,Asia,0,0,draw
United Kingdom,High,Europe,Europe,1,0,draw
Italy,High,North America,Europe,1,1,draw
Bulgaria,High,Europe,Europe,1,1,draw
Italy,High,Europe,Europe,1,0,lose
Algeria,Low,Africa,Africa,0,0,lose
Brazil,High,Europe,South America,3,1,win
Saudi Arabia,High,Asia,Asia,0,1,lose
Chile,High,South America,South America,2,1,win
France,High,Africa,Europe,1,1,lose
Russia,High,North America,Europe,2,1,win
Hungary,High,Europe,Europe,2,0,lose
Iraq,High,North America,Asia,1,1,lose
Chile,High,South America,South America,1,1,win
Netherlands,High,South America,Europe,3,1,win
Uruguay,High,South America,South America,6,1,win
Brazil,High,North America,South America,4,1,win
Brazil,High,Europe,South America,0,0,lose
Peru,High,North America,South America,2,0,lose
Argentina,High,Europe,South America,1,1,lose
Paraguay,High,Europe,South America,3,1,win
Mexico,High,North America,North America,2,1,win
Netherlands,High,Europe,Europe,2,1,win
Brazil,High,South America,South America,4,1,win
Turkey,High,Asia,Asia,0,0,lose
Germany,High,South America,Europe,2,1,win
Germany,High,South America,Europe,7,0,win
Germany,Low,North America,Europe,2,0,win
France,High,North America,Europe,4,1,win
Cameroon,High,North America,Africa,1,0,lose
United Kingdom,High,Europe,Europe,1,0,draw
Greece,High,South America,Europe,1,0,draw
Spain,High,Europe,Europe,1,1,lose
Portugal,High,Asia,Europe,0,1,lose
France,High,Europe,Europe,1,1,draw
Hungary,Low,Europe,Europe,6,1,win
Brazil,High,Europe,South America,3,1,win
South Korea,High,Africa,Asia,1,0,lose
Italy,Low,South America,Europe,0,0,draw
United Arab Emirates,High,Europe,Asia,1,0,lose
Croatia,High,Europe,Europe,1,0,lose
Mexico,High,North America,North America,2,0,win
Russia,Low,Europe,Europe,1,1,win
USA,High,Africa,North America,2,0,draw
Hungary,High,Europe,Europe,1,0,lose
South Korea,High,Europe,Asia,0,0,lose
Chile,High,Europe,South America,1,0,lose
Paraguay,High,Asia,South America,1,0,lose
Uruguay,High,South America,South America,1,0,win
Italy,High,Europe,Europe,1,1,win
Ivory Coast,High,Africa,Africa,0,1,draw
United Kingdom,High,North America,Europe,3,1,win
Romania,High,North America,Europe,3,0,win
Costa Rica,High,South America,North America,0,0,draw
Switzerland,Low,Europe,Europe,3,1,win
Netherlands,High,North America,Europe,0,0,lose
Mexico,High,Africa,North America,1,0,lose
Cameroon,High,North America,Africa,2,1,draw
Uruguay,High,South America,South America,2,1,win
Russia,High,Europe,Europe,2,1,draw
Switzerland,High,Europe,Europe,0,1,draw
Peru,High,South America,South America,0,0,lose
Italy,High,North America,Europe,4,1,win
United Kingdom,High,North America,Europe,1,0,lose
Morocco,High,Europe,Africa,3,0,win
El Salvador,High,North America,North America,0,0,lose
Slovakia,High,Africa,Europe,1,0,draw
Belgium,High,North America,Europe,1,1,win
Netherlands,High,Europe,Europe,1,0,draw
Sweden,Low,North America,Europe,1,1,draw
United Kingdom,High,North America,Europe,1,1,win
Belgium,High,Europe,Europe,0,0,lose
Russia,High,North America,Europe,4,1,win
USA,High,Europe,North America,1,0,draw
Serbia,Low,Europe,Europe,0,1,draw
France,Low,Europe,Europe,4,1,win
Paraguay,High,North America,South America,2,1,draw
United Kingdom,High,Europe,Europe,1,0,draw
Senegal,High,Asia,Africa,1,0,win
Bolivia,High,North America,South America,1,1,lose
Paraguay,Low,South America,South America,0,0,lose
France,High,Europe,Europe,3,0,win
Israel,High,North America,Asia,0,0,lose
El Salvador,High,Europe,North America,1,0,lose
Brazil,High,South America,South America,1,1,draw
South Korea,High,Asia,Asia,2,1,lose
Spain,High,Africa,Europe,0,1,lose
Norway,High,Europe,Europe,2,0,draw
Germany,High,Europe,Europe,2,1,win
United Kingdom,High,Europe,Europe,0,0,lose
Colombia,High,Europe,South America,2,0,win
Cameroon,High,Asia,Africa,1,1,win
France,High,Europe,Europe,3,0,win
South Korea,High,Africa,Asia,0,1,lose
Greece,High,Africa,Europe,0,1,lose
Argentina,High,South America,South America,1,1,win
Romania,High,South America,Europe,0,0,lose
France,Low,Europe,Europe,1,1,draw
Argentina,Low,Europe,South America,2,1,win
Sweden,High,Europe,Europe,1,1,win
Belgium,High,South America,Europe,0,0,lose
France,High,Europe,Europe,0,0,lose
Brazil,High,Europe,South America,4,1,win
Germany,High,Europe,Europe,1,0,lose
Netherlands,High,North America,Europe,2,1,win
Serbia,High,South America,Europe,4,1,win
Uruguay,High,North America,South America,0,0,lose
Iran,High,South America,Asia,0,0,lose
Germany,Low,North America,Europe,0,1,draw
Cameroon,High,Asia,Africa,0,1,lose
Senegal,High,Asia,Africa,2,0,win
South Korea,High,Asia,Asia,2,1,win
Germany,High,Europe,Europe,2,1,win
Denmark,High,Europe,Europe,1,0,lose
Saudi Arabia,High,Europe,Asia,2,0,draw
USA,High,South America,North America,3,1,win
Poland,High,North America,Europe,0,0,lose
South Korea,High,North America,Asia,1,1,draw
Romania,High,Europe,Europe,1,0,lose
Mexico,High,Asia,North America,2,1,win
Brazil,High,Europe,South America,0,1,lose
Hungary,High,Europe,Europe,1,1,draw
USA,High,Africa,North America,1,1,lose
Germany,High,Europe,Europe,1,1,draw
Switzerland,High,Europe,Europe,1,1,draw
Brazil,High,South America,South America,2,1,win
Brazil,High,Europe,South America,0,1,lose
Romania,High,North America,Europe,1,1,lose
Slovakia,High,Europe,Europe,3,1,win
Germany,Low,Europe,Europe,3,0,win
Austria,High,Europe,Europe,2,0,lose
Costa Rica,High,Europe,North America,0,0,lose
United Kingdom,High,North America,Europe,3,1,win
Sweden,High,South America,Europe,3,1,win
Brazil,High,Europe,South America,0,1,lose
Sweden,High,South America,Europe,0,0,lose
Honduras,High,South America,North America,0,0,lose
Australia,High,South America,Oceania,1,0,lose
Argentina,High,Europe,South America,0,0,lose
Italy,High,Europe,Europe,2,1,win
Romania,High,South America,Europe,3,1,win
Ivory Coast,High,Europe,Africa,1,0,lose
Italy,High,Europe,Europe,0,0,lose
Uruguay,High,North America,South America,0,0,draw
Mexico,High,South America,North America,1,0,lose
Germany,Low,Africa,Europe,4,0,win
Netherlands,High,Europe,Europe,0,0,draw
Germany,Low,Europe,Europe,3,0,lose
South Korea,Low,South America,Asia,0,1,lose
Sweden,High,Europe,Europe,1,0,lose
Paraguay,High,Europe,South America,2,1,win
Brazil,High,North America,South America,0,1,draw
Argentina,High,North America,South America,1,1,win
South Korea,High,Europe,Asia,1,1,lose
USA,High,Asia,North America,1,0,draw
Chile,High,South America,South America,3,1,win
Uruguay,High,South America,South America,2,1,win
United Kingdom,High,Asia,Europe,3,0,win
Mexico,High,Europe,North America,3,1,win
Serbia,Low,Europe,Europe,0,0,lose
Argentina,High,Europe,South America,1,0,lose
Brazil,High,Europe,South America,1,1,win
Japan,High,Africa,Asia,0,0,draw
USA,High,Europe,North America,1,0,lose
Brazil,Low,South America,South America,4,1,win
Germany,Low,Europe,Europe,1,1,win
Netherlands,Low,Europe,Europe,0,0,lose
Italy,Low,South America,Europe,0,0,lose
Brazil,High,South America,South America,3,1,win
Poland,High,Europe,Europe,3,1,win
Germany,High,South America,Europe,1,0,win
Canada,High,North America,North America,0,1,lose
Argentina,High,South America,South America,1,1,win
Netherlands,High,South America,Europe,2,1,win
Bulgaria,High,North America,Europe,0,0,lose
Brazil,High,North America,South America,3,1,win
Mexico,High,South America,North America,0,0,lose
Argentina,High,Europe,South America,0,0,lose
Italy,High,South America,Europe,1,1,win
Sweden,High,North America,Europe,2,0,draw
Chile,High,South America,South America,1,1,win
Spain,High,Europe,Europe,0,0,lose
Colombia,High,South America,South America,2,1,win
Mexico,High,Africa,North America,2,0,win
Belgium,High,Europe,Europe,1,1,win
Germany,High,South America,Europe,1,1,win
Sweden,High,North America,Europe,3,0,win
Brazil,High,Europe,South America,3,0,win
Bulgaria,High,South America,Europe,0,0,draw
Jamaica,High,Europe,North America,1,1,lose
Peru,High,Europe,South America,1,0,draw
Germany,Low,South America,Europe,2,1,win
Brazil,High,Europe,South America,1,0,lose
Nigeria,High,Asia,Africa,1,0,lose
Serbia,Low,Europe,Europe,4,1,win
United Kingdom,High,Europe,Europe,2,0,win
Costa Rica,High,Europe,North America,1,1,lose
Belgium,Low,North America,Europe,4,0,win
Hungary,High,South America,Europe,0,0,lose
Portugal,High,Europe,Europe,3,1,win
Brazil,High,North America,South America,3,0,win
Brazil,High,North America,South America,3,0,win
Hungary,Low,Europe,Europe,10,1,win
Brazil,High,Africa,South America,3,1,win
Serbia,Low,South America,Europe,0,0,lose
France,High,Europe,Europe,4,1,win
Australia,High,Europe,Oceania,0,0,lose
Belgium,High,Europe,Europe,2,1,draw
South Korea,High,North America,Asia,0,1,draw
Argentina,High,North America,South America,0,1,lose
Germany,High,Europe,Europe,2,1,win
Greece,High,South America,Europe,1,0,draw
Chile,High,South America,South America,1,0,draw
Serbia,High,South America,Europe,2,1,win
Cameroon,High,Europe,Africa,1,0,draw
Germany,High,Europe,Europe,2,1,win
Australia,High,South America,Oceania,2,1,lose
Sweden,High,Asia,Europe,1,0,draw
Brazil,High,South America,South America,0,1,draw
South Korea,High,Asia,Asia,1,1,draw
Austria,High,Europe,Europe,0,0,lose
Brazil,High,Europe,South America,5,1,win
South Africa,High,Europe,Africa,0,0,lose
Uruguay,High,Africa,South America,3,0,win
Slovakia,High,Africa,Europe,1,0,lose
Netherlands,Low,Europe,Europe,5,1,win
Germany,High,Europe,Europe,1,1,win
Australia,High,Africa,Oceania,0,0,lose
Argentina,High,South America,South America,2,1,win
Chile,High,Europe,South America,0,0,lose
Chile,High,Europe,South America,1,1,draw
France,High,Africa,Europe,0,0,draw
Russia,High,South America,Europe,1,0,lose
Romania,High,North America,Europe,0,0,lose
Italy,High,North America,Europe,2,0,win
Belgium,Low,North America,Europe,2,0,win
Argentina,High,Europe,South America,0,1,lose
Paraguay,High,Africa,South America,0,1,lose
Brazil,High,Europe,South America,2,1,win
Spain,High,Africa,Europe,1,0,win
Switzerland,High,Europe,Europe,2,1,win
Hungary,High,South America,Europe,2,1,win
Iraq,High,North America,Asia,0,1,lose
Germany,High,Europe,Europe,5,1,win
Australia,High,Europe,Oceania,0,1,lose
Germany,High,Europe,Europe,4,1,win
Germany,High,North America,Europe,1,1,draw
Italy,High,North America,Europe,0,1,draw
Spain,High,Europe,Europe,1,0,lose
United Kingdom,Low,South America,Europe,3,1,win
Germany,Low,North America,Europe,2,1,win
France,High,North America,Europe,1,0,draw
Hungary,Low,South America,Europe,1,0,lose
United Kingdom,High,South America,Europe,1,0,lose
Netherlands,High,South America,Europe,0,1,draw
United Kingdom,High,North America,Europe,0,1,lose
Slovakia,High,Europe,Europe,1,0,win
United Kingdom,High,Europe,Europe,2,1,win
Tunisia,High,Europe,Africa,0,0,lose
Ecuador,High,Europe,South America,2,0,win
South Korea,High,Europe,Asia,1,1,draw
Brazil,High,North America,South America,1,1,win
Germany,High,Europe,Europe,1,1,win
Denmark,High,Europe,Europe,4,0,win
United Kingdom,Low,Europe,Europe,0,1,draw
Russia,High,Europe,Europe,2,1,win
Germany,High,Europe,Europe,0,1,lose
Sweden,High,Europe,Europe,0,0,draw
France,High,Europe,Europe,3,1,win
France,High,North America,Europe,1,0,win
Spain,High,Europe,Europe,1,0,win
Turkey,High,Asia,Asia,3,1,win
Hungary,Low,Europe,Europe,2,0,lose
Romania,High,North America,Europe,2,0,lose
Netherlands,High,South America,Europe,1,0,lose
Italy,High,North America,Europe,2,1,win
Serbia,High,Europe,Europe,0,1,lose
Hungary,High,Europe,Europe,1,0,lose
Mexico,High,South America,North America,1,0,lose
Germany,High,North America,Europe,3,0,lose
France,Low,Europe,Europe,2,0,lose
Morocco,High,North America,Africa,0,0,draw
Ukraine,High,Europe,Europe,0,0,lose
France,High,Europe,Europe,1,1,win
USA,High,North America,North America,1,1,draw
Portugal,Low,Africa,Europe,0,1,draw
France,High,Europe,Europe,3,1,win
United Kingdom,High,Asia,Europe,0,0,draw
United Kingdom,High,Europe,Europe,0,0,lose
Sweden,High,South America,Europe,3,1,win
Nigeria,High,North America,Africa,3,1,win
United Kingdom,Low,South America,Europe,1,1,draw
Netherlands,High,South America,Europe,0,1,draw
Germany,Low,Europe,Europe,2,1,draw
Uruguay,High,Europe,South America,0,0,lose
Slovakia,High,South America,Europe,3,1,win
Romania,High,North America,Europe,2,1,draw
France,High,South America,Europe,1,0,lose
Brazil,High,Europe,South America,1,1,draw
Germany,High,Europe,Europe,1,1,win
France,High,North America,Europe,3,0,win
Brazil,High,South America,South America,1,1,win
Germany,Low,South America,Europe,0,1,draw
Cameroon,High,Europe,Africa,0,0,draw
Australia,High,South America,Oceania,0,1,lose
Germany,Low,Europe,Europe,2,1,draw
Italy,High,Europe,Europe,2,1,win
Italy,High,Europe,Europe,3,1,win
Belgium,High,South America,Europe,0,0,lose
France,Low,Europe,Europe,2,1,win
Argentina,Low,South America,South America,2,1,win
South Korea,High,Europe,Asia,1,1,lose
Tunisia,High,Asia,Africa,0,1,lose
South Korea,High,Asia,Asia,0,0,draw
Slovenia,High,Africa,Europe,0,1,lose
Mexico,High,Europe,North America,2,0,lose
Serbia,High,Europe,Europe,1,0,win
France,High,Europe,Europe,1,1,draw
Haiti,High,Europe,North America,1,0,lose
Austria,High,Europe,Europe,3,1,win
Bosnia and Herzegovina,High,South America,Europe,1,0,lose
United Kingdom,High,Europe,Europe,1,0,draw
Germany,High,Europe,Europe,7,1,win
Paraguay,High,Africa,South America,0,1,draw
Argentina,High,South America,South America,1,1,win
Spain,High,Europe,Europe,1,1,draw
Uruguay,High,North America,South America,0,1,draw
Brazil,High,South America,South America,3,1,win
Brazil,High,Europe,South America,1,1,draw
Mexico,High,South America,North America,3,0,win
Morocco,High,North America,Africa,1,1,lose
Brazil,High,Asia,South America,4,1,win
Russia,Low,Europe,Europe,1,0,lose
Mexico,High,South America,North America,1,0,lose
Slovakia,Low,Europe,Europe,3,1,win
United Kingdom,High,Europe,Europe,0,1,draw
Argentina,High,North America,South America,3,1,win
Netherlands,High,Europe,Europe,1,0,win
Brazil,High,Europe,South America,0,0,draw
United Kingdom,High,Europe,Europe,1,1,win
Portugal,High,Europe,Europe,0,1,lose
Japan,High,Europe,Asia,0,0,lose
Brazil,High,Europe,South America,3,1,win
United Kingdom,High,Europe,Europe,0,0,draw
Netherlands,High,Europe,Europe,2,1,win
Portugal,High,Europe,Europe,1,0,lose
Switzerland,High,South America,Europe,1,0,lose
Italy,High,North America,Europe,0,0,draw
Paraguay,High,South America,South America,2,0,draw
Serbia,High,Africa,Europe,1,0,lose
United Kingdom,Low,South America,Europe,1,0,lose
Serbia,High,Europe,Europe,0,0,draw
Sweden,High,North America,Europe,2,0,draw
South Korea,High,Europe,Asia,1,0,draw
Austria,High,South America,Europe,2,1,win
Brazil,High,Europe,South America,1,1,win
Peru,High,South America,South America,0,0,lose
Italy,High,Europe,Europe,3,1,win
New Zealand,High,Africa,Oceania,0,0,draw
Mexico,High,Europe,North America,0,1,draw
Brazil,High,South America,South America,1,1,lose
Mexico,Low,South America,North America,0,0,lose
Portugal,High,Europe,Europe,2,1,win
Italy,High,Asia,Europe,1,0,draw
Japan,High,Africa,Asia,0,0,lose
Algeria,High,South America,Africa,1,0,lose
Germany,High,Europe,Europe,0,1,lose
Uruguay,High,South America,South America,1,1,lose
Japan,High,Asia,Asia,2,1,draw
Serbia,High,Europe,Europe,0,1,draw
Germany,Low,North America,Europe,0,0,lose
Cameroon,High,Europe,Africa,0,1,lose
Ecuador,High,Asia,South America,1,1,win
Denmark,High,Asia,Europe,2,1,win
Japan,High,Europe,Asia,1,0,lose
Uruguay,High,Europe,South America,2,1,win
Serbia,High,Europe,Europe,9,1,win
Jamaica,High,Europe,North America,0,0,lose
United Kingdom,High,Europe,Europe,0,0,lose
Italy,High,Europe,Europe,3,1,win
Iran,High,Europe,Asia,0,0,lose
Trinidad and Tobago,High,Europe,North America,0,1,draw
Spain,High,Asia,Europe,3,0,win
Tunisia,High,South America,Africa,0,0,lose
Netherlands,High,South America,Europe,2,0,lose
South Korea,High,Africa,Asia,1,0,lose
USA,Low,South America,North America,2,0,lose
USA,High,South America,North America,1,0,lose
Italy,High,Europe,Europe,2,1,draw
Morocco,High,Europe,Africa,0,0,lose
Russia,High,South America,Europe,2,1,win
Mexico,Low,Europe,North America,0,0,lose
Nigeria,High,Africa,Africa,0,0,lose
United Kingdom,High,Europe,Europe,0,0,draw
Ivory Coast,High,South America,Africa,1,0,lose
Honduras,High,Africa,North America,0,0,lose
Argentina,High,South America,South America,0,0,lose
Spain,High,Europe,Europe,4,1,win
Germany,High,Europe,Europe,0,0,lose
Netherlands,Low,Europe,Europe,2,1,draw
France,High,Europe,Europe,1,0,win
United Kingdom,High,North America,Europe,0,0,lose
Brazil,Low,Europe,South America,1,0,lose
Slovakia,High,Europe,Europe,0,0,lose
Saudi Arabia,High,Europe,Asia,0,1,lose
Argentina,Low,Europe,South America,2,1,win
Ecuador,High,Asia,South America,0,0,lose
Spain,Low,South America,Europe,1,1,win
United Kingdom,High,Europe,Europe,1,1,win
Netherlands,High,Africa,Europe,1,1,win
Ghana,High,Europe,Africa,0,0,lose
Mexico,High,Africa,North America,0,1,lose
Croatia,High,Asia,Europe,2,0,win
Slovakia,High,Europe,Europe,5,0,win
Uruguay,High,South America,South America,1,0,lose
South Africa,High,Europe,Africa,1,1,draw
Germany,High,South America,Europe,6,1,win
United Kingdom,High,South America,Europe,1,0,lose
Netherlands,Low,Europe,Europe,0,1,draw
Germany,Low,Africa,Europe,0,1,lose
Japan,High,Europe,Asia,1,1,lose
Brazil,High,North America,South America,4,1,win
United Kingdom,High,Europe,Europe,4,1,draw
Austria,High,South America,Europe,1,1,win
United Kingdom,High,Africa,Europe,1,1,draw
United Kingdom,High,Europe,Europe,0,0,lose
Bulgaria,High,Europe,Europe,1,0,lose
Germany,High,Europe,Europe,3,0,win
Russia,High,Europe,Europe,0,1,lose
Mexico,High,North America,North America,0,0,lose
Russia,High,Europe,Europe,3,1,win
Switzerland,High,South America,Europe,2,1,lose
Slovakia,High,Europe,Europe,0,0,lose
Russia,High,Europe,Europe,1,0,lose
Peru,High,North America,South America,1,0,lose
Argentina,High,Europe,South America,0,1,lose
Switzerland,High,Europe,Europe,0,0,lose
South Korea,High,Africa,Asia,2,1,win
Nigeria,High,Asia,Africa,0,1,draw
Belgium,High,South America,Europe,0,0,lose
Belgium,High,Asia,Europe,2,0,draw
United Kingdom,High,Asia,Europe,1,1,draw
Ivory Coast,High,Europe,Africa,1,0,lose
South Korea,High,Europe,Asia,0,0,lose
Sweden,High,South America,Europe,0,0,lose
Italy,High,Europe,Europe,7,1,win
Poland,Low,Europe,Europe,5,0,lose
Australia,High,Africa,Oceania,1,0,draw
Tunisia,High,Asia,Africa,0,0,lose
Brazil,High,South America,South America,0,1,lose
Brazil,High,Europe,South America,3,1,win
Russia,High,North America,Europe,1,0,lose
South Korea,High,Europe,Asia,0,0,lose
Ecuador,High,Europe,South America,0,1,lose
Switzerland,High,Africa,Europe,0,0,lose
Poland,High,Europe,Europe,0,1,draw
Argentina,High,North America,South America,2,1,win
United Kingdom,High,Europe,Europe,2,0,draw
Russia,High,North America,Europe,1,0,draw
Germany,High,South America,Europe,7,0,win
Argentina,High,Europe,South America,1,1,win
