Team,Average Age,Host,Continent,Goals,Home Team,Result
Poland,High,Europe,Europe,3,1,win
Germany,High,Europe,Europe,4,1,win
Italy,High,Asia,Europe,2,1,win
Italy,High,North America,Europe,1,1,win
USA,High,South America,North America,1,0,lose
Switzerland,High,Europe,Europe,4,1,win
Russia,High,South America,Europe,2,1,win
Croatia,High,Europe,Europe,0,0,draw
Italy,High,Europe,Europe,1,1,draw
Spain,Low,South America,Europe,0,0,draw
Germany,Low,North America,Europe,1,0,win
Germany,Low,Asia,Europe,0,1,lose
Switzerland,High,North America,Europe,4,0,win
Argentina,High,Europe,South America,1,0,draw
Germany,High,Europe,Europe,3,1,win
Hungary,Low,North America,Europe,0,1,lose
Netherlands,High,North America,Europe,2,0,win
Serbia,Low,Europe,Europe,1,1,draw
Colombia,High,North America,South America,1,1,lose
Hungary,Low,South America,Europe,1,0,lose
Ecuador,High,Europe,South America,3,1,win
Sweden,High,Europe,Europe,2,0,lose
United Kingdom,High,Asia,Europe,1,0,win
Sweden,Low,Europe,Europe,1,0,lose
Switzerland,High,South America,Europe,0,0,lose
Germany,High,Europe,Europe,3,0,win
Cameroon,High,Europe,Africa,0,0,draw
Switzerland,High,South America,Europe,2,0,draw
Italy,High,Europe,Europe,2,1,win
Netherlands,High,Europe,Europe,2,0,lose
France,High,Europe,Europe,1,0,draw
Denmark,High,Africa,Europe,0,0,lose
Germany,High,North America,Europe,5,1,win
Switzerland,High,Europe,Europe,0,0,draw
Netherlands,High,South America,Europe,3,0,win
Brazil,High,South America,South America,4,0,win
Brazil,High,Europe,South America,1,1,win
France,Low,Europe,Europe,2,0,lose
Portugal,High,North America,Europe,0,0,lose
Brazil,Low,South America,South America,2,1,win
Colombia,High,Europe,South America,0,0,lose
United Kingdom,High,Europe,Europe,1,1,draw
Switzerland,High,Europe,Europe,0,0,lose
United Kingdom,Low,Europe,Europe,2,0,draw
United Kingdom,High,South America,Europe,0,0,draw
Mexico,High,North America,North America,0,0,draw
Germany,High,Europe,Europe,1,1,win
United Kingdom,Low,Europe,Europe,1,1,draw
Belgium,Low,Europe,Europe,3,1,win
France,Low,Europe,Europe,6,1,win
Germany,High,Europe,Europe,1,0,draw
Spain,High,North America,Europe,1,1,draw
Tunisia,High,Europe,Africa,0,0,lose
Uruguay,High,Africa,South America,2,1,lose
Colombia,High,Europe,South America,1,0,lose
Spain,High,North America,Europe,1,0,lose
Kuwait,High,Europe,Asia,1,0,draw
Ukraine,High,Europe,Europe,4,0,win
Germany,High,Europe,Europe,1,1,lose
Brazil,High,Europe,South America,5,1,win
Brazil,High,Asia,South America,2,1,win
Uruguay,High,North America,South America,1,0,lose
Croatia,High,Europe,Europe,3,0,win
Spain,High,Asia,Europe,0,1,draw
Spain,High,Europe,Europe,0,1,draw
Netherlands,High,South America,Europe,2,1,win
Slovakia,High,Europe,Europe,0,0,lose
United Kingdom,High,North America,Europe,1,0,lose
Colombia,High,South America,South America,2,1,win
Netherlands,High,Europe,Europe,0,1,draw
Sweden,High,Europe,Europe,1,1,lose
Serbia,High,South America,Europe,4,1,win
Belgium,High,South America,Europe,2,1,win
Spain,High,Europe,Europe,3,0,win
Spain,High,North America,Europe,5,0,win
Poland,High,North America,Europe,1,1,win
Cuba,High,Europe,North America,0,0,lose
Germany,High,North America,Europe,3,1,win
Sweden,High,Europe,Europe,2,0,lose
Hungary,High,Europe,Europe,3,1,win
Nigeria,High,Asia,Africa,0,0,lose
Honduras,High,Europe,North America,1,0,draw
Kuwait,High,Europe,Asia,1,0,lose
Italy,High,Europe,Europe,2,1,win
Serbia,High,Africa,Europe,1,0,win
Czech Republic,High,Europe,Europe,0,1,lose
Belgium,High,Europe,Europe,1,0,win
Sweden,High,Europe,Europe,2,1,draw
Ghana,High,Europe,Africa,2,1,win
Brazil,High,North America,South America,1,0,win
Colombia,High,South America,South America,3,1,win
Germany,High,Europe,Europe,2,1,win
Netherlands,Low,Europe,Europe,1,0,draw
Argentina,High,Africa,South America,4,1,win
South Korea,High,Europe,Asia,3,0,lose
Canada,High,North America,North America,0,0,lose
Romania,High,Europe,Europe,1,0,draw
Ghana,High,Africa,Africa,1,0,win
Austria,High,Europe,Europe,0,0,lose
Sweden,High,Europe,Europe,0,1,lose
Greece,High,Africa,Europe,0,0,lose
Honduras,High,Europe,North America,1,1,draw
Iran,High,Europe,Asia,2,0,win
Netherlands,High,South America,Europe,5,0,win
Hungary,Low,Europe,Europe,1,0,lose
Serbia,Low,Europe,Europe,3,0,draw
Brazil,High,South America,South America,2,1,win
Italy,High,Europe,Europe,1,1,win
Germany,Low,North America,Europe,2,0,lose
Paraguay,High,Europe,South America,0,1,draw
Mexico,High,Europe,North America,1,1,draw
Brazil,Low,South America,South America,1,0,lose
Serbia,High,Africa,Europe,0,1,lose
Cameroon,High,Africa,Africa,1,1,lose
Cameroon,High,Asia,Africa,1,0,draw
Italy,High,Asia,Europe,1,0,lose
France,High,South America,Europe,5,0,win
Serbia,High,Europe,Europe,2,0,draw
Chile,High,Africa,South America,1,0,win
Belgium,Low,North America,Europe,1,0,draw
USA,High,Europe,North America,1,0,lose
Romania,High,Europe,Europe,0,1,lose
Algeria,High,Europe,Africa,3,1,win
Switzerland,High,Europe,Europe,0,0,lose
Turkey,High,Asia,Asia,1,0,win
Costa Rica,High,Europe,North America,0,0,lose
Bulgaria,High,North America,Europe,1,0,draw
Bosnia and Herzegovina,High,South America,Europe,0,0,lose
Spain,High,South America,Europe,1,1,win
Romania,High,North America,Europe,2,1,win
Germany,High,North America,Europe,3,1,win
Spain,High,South America,Europe,3,1,win
South Korea,High,Europe,Asia,1,1,win
Brazil,High,South America,South America,2,1,win
Nigeria,High,South America,Africa,2,1,lose
Cameroon,High,Europe,Africa,2,1,win
Russia,High,Europe,Europe,0,0,lose
Chile,High,South America,South America,1,0,draw
Bolivia,High,South America,South America,0,0,lose
Italy,Low,South America,Europe,2,0,lose
China,High,Asia,Asia,0,0,lose
South Korea,High,North America,Asia,2,1,lose
Brazil,High,South America,South America,2,1,win
Costa Rica,High,Asia,North America,1,1,draw
Slovakia,High,Europe,Europe,2,0,draw
Iran,High,South America,Asia,0,0,lose
Germany,Low,Europe,Europe,1,0,lose
United Kingdom,High,South America,Europe,1,0,lose
Iran,High,Europe,Asia,0,0,lose
South Korea,High,Europe,Asia,1,0,draw
Germany,High,Europe,Europe,6,1,win
Netherlands,High,Africa,Europe,2,1,win
Serbia,Low,South America,Europe,5,1,win
Argentina,High,Asia,South America,0,1,lose
Sweden,High,South America,Europe,1,1,draw
Netherlands,High,South America,Europe,2,0,draw
Portugal,High,South America,Europe,2,0,draw
Belgium,Low,North America,Europe,0,0,lose
Chile,High,Africa,South America,1,1,win
Hungary,Low,South America,Europe,1,0,lose
Argentina,High,South America,South America,1,1,win
New Zealand,High,Europe,Oceania,0,0,lose
Uruguay,High,Europe,South America,1,0,lose
Romania,High,Europe,Europe,0,0,draw
Germany,High,Europe,Europe,2,0,win
Poland,High,Europe,Europe,2,1,win
Saudi Arabia,High,Europe,Asia,0,1,lose
Germany,High,Europe,Europe,1,1,draw
France,High,Europe,Europe,2,0,lose
Saudi Arabia,High,North America,Asia,2,1,win
Paraguay,High,Europe,South America,0,0,draw
Sweden,High,South America,Europe,1,0,lose
Belgium,High,North America,Europe,1,0,lose
Russia,High,North America,Europe,6,1,win
Paraguay,High,Africa,South America,2,0,win
Italy,High,Europe,Europe,2,1,win
Ukraine,High,Europe,Europe,0,0,lose
Senegal,High,Asia,Africa,1,0,draw
Spain,High,Africa,Europe,2,0,win
USA,High,South America,North America,1,0,lose
United Kingdom,High,Europe,Europe,1,0,lose
Mexico,High,Europe,North America,0,0,lose
Netherlands,High,Africa,Europe,2,0,win
Portugal,High,South America,Europe,0,0,lose
Mexico,High,South America,North America,1,1,win
Italy,High,Europe,Europe,3,1,win
Mexico,High,Europe,North America,2,0,draw
United Kingdom,Low,Europe,Europe,1,0,lose
Netherlands,High,North America,Europe,2,1,lose
Togo,High,Europe,Africa,0,1,lose
Brazil,High,Europe,South America,2,1,win
Germany,High,South America,Europe,1,1,win
Brazil,High,North America,South America,2,1,win
Germany,High,Europe,Europe,3,1,win
Italy,High,Europe,Europe,1,1,win
Uruguay,High,South America,South America,0,0,lose
Spain,High,Europe,Europe,1,0,lose
Cameroon,High,Africa,Africa,0,0,lose
Mexico,High,South America,North America,0,0,draw
Germany,Low,Asia,Europe,1,1,win
Argentina,High,South America,South America,0,0,draw
Japan,High,Asia,Asia,0,1,lose
China,High,Asia,Asia,0,1,lose
South Korea,Low,South America,Asia,2,1,lose
Tunisia,High,South America,Africa,0,0,draw
Belgium,High,Asia,Europe,0,0,lose
Ghana,High,South America,Africa,1,0,lose
Chile,High,Africa,South America,0,0,lose
Russia,High,Asia,Europe,0,0,lose
Brazil,High,Europe,South America,2,0,lose
Chile,High,Europe,South America,1,0,draw
Germany,High,Europe,Europe,1,0,draw
Japan,High,Africa,Asia,3,0,win
USA,High,Asia,North America,2,0,win
Colombia,High,South America,South America,0,0,lose
United Kingdom,High,Europe,Europe,1,0,draw
France,High,North America,Europe,0,1,lose
France,High,South America,Europe,0,0,lose
Poland,High,South America,Europe,0,0,lose
Democratic Republic of the Congo,High,Europe,Africa,0,0,lose
Slovenia,High,Asia,Europe,0,0,lose
Argentina,High,Europe,South America,1,1,lose
Uruguay,High,South America,South America,4,1,win
Italy,High,Europe,Europe,2,1,win
Slovakia,High,South America,Europe,1,0,lose
Sweden,High,North America,Europe,1,0,draw
Argentina,High,South America,South America,1,1,win
Greece,High,South America,Europe,0,0,draw
Ecuador,High,South America,South America,0,1,draw
Russia,High,North America,Europe,2,1,win
Italy,High,North America,Europe,2,0,win
Angola,High,Europe,Africa,0,1,lose
Netherlands,High,South America,Europe,3,0,win
Argentina,High,North America,South America,2,1,win
Austria,High,Europe,Europe,7,1,win
Argentina,High,Africa,South America,3,1,win
Colombia,High,North America,South America,2,0,win
Spain,High,South America,Europe,1,1,win
Russia,High,North America,Europe,3,1,lose
Italy,Low,North America,Europe,1,0,draw
Belgium,High,South America,Europe,1,1,win
Paraguay,High,North America,South America,1,0,draw
Netherlands,High,South America,Europe,2,1,win
Uruguay,High,Europe,South America,0,0,draw
United Kingdom,Low,Europe,Europe,2,0,win
Chile,High,Europe,South America,1,1,draw
Uruguay,High,Asia,South America,3,0,draw
Sweden,High,Asia,Europe,2,1,win
Chile,High,Europe,South America,2,0,draw
Uruguay,High,Europe,South America,1,0,draw
Peru,High,Europe,South America,0,1,draw
USA,High,Asia,North America,3,1,win
USA,High,Africa,North America,1,0,draw
Cameroon,High,North America,Africa,0,0,lose
Mexico,High,North America,North America,2,1,win
Austria,High,Europe,Europe,1,0,draw
Romania,High,North America,Europe,3,1,win
Chile,High,Europe,South America,0,1,lose
Togo,High,Europe,Africa,0,1,lose
United Kingdom,High,Asia,Europe,1,1,draw
Netherlands,High,Europe,Europe,0,1,draw
Portugal,High,Europe,Europe,1,1,win
Mexico,High,South America,North America,1,0,lose
El Salvador,High,Europe,North America,0,0,lose
Slovenia,High,Asia,Europe,1,0,lose
United Kingdom,High,Europe,Europe,1,1,win
Democratic Republic of the Congo,High,Europe,Africa,0,1,lose
Mexico,High,South America,North America,1,0,lose
Italy,High,Europe,Europe,4,1,win
Poland,High,Europe,Europe,0,1,lose
Netherlands,High,Europe,Europe,1,1,lose
Egypt,High,Europe,Africa,0,0,lose
Austria,High,Europe,Europe,2,0,draw
Spain,High,South America,Europe,1,0,lose
Iran,High,South America,Asia,1,0,lose
France,High,Asia,Europe,0,1,draw
Italy,High,Europe,Europe,1,0,lose
Spain,High,Europe,Europe,0,0,lose
Germany,High,South America,Europe,0,1,draw
Brazil,High,South America,South America,1,1,draw
South Korea,High,Africa,Asia,1,0,lose
Denmark,High,Asia,Europe,0,1,lose
Poland,High,Asia,Europe,3,1,win
Serbia,Low,South America,Europe,0,0,lose
Brazil,High,Europe,South America,1,0,lose
Germany,High,Europe,Europe,0,1,draw
Serbia,High,South America,Europe,1,0,lose
Italy,High,South America,Europe,0,1,lose
Iran,High,Europe,Asia,0,0,lose
Nigeria,High,South America,Africa,0,0,draw
Hungary,High,Europe,Europe,1,0,lose
Brazil,High,Europe,South America,2,1,win
Brazil,High,Asia,South America,2,0,win
Italy,High,Europe,Europe,1,1,win
Mexico,High,Europe,North America,1,0,lose
Japan,High,Asia,Asia,2,0,win
Portugal,High,Europe,Europe,3,1,win
Costa Rica,High,South America,North America,0,0,draw
Angola,High,Europe,Africa,0,0,draw
Indonesia,Low,Europe,Asia,0,0,lose
Uruguay,High,Europe,South America,0,0,lose
Chile,High,South America,South America,3,1,win
Uruguay,High,South America,South America,2,1,win
Argentina,High,South America,South America,6,1,win
Japan,High,Africa,Asia,1,1,win
Algeria,High,South America,Africa,1,1,draw
Germany,High,Europe,Europe,2,1,win
Italy,Low,North America,Europe,3,0,win
Belgium,High,North America,Europe,1,1,win
Argentina,High,South America,South America,1,0,lose
Nigeria,High,Europe,Africa,1,1,win
Netherlands,High,Europe,Europe,1,1,draw
Sweden,High,Europe,Europe,0,1,draw
Ecuador,High,South America,South America,2,0,win
Germany,High,Europe,Europe,1,1,win
Colombia,High,Europe,South America,0,0,lose
Hungary,High,Europe,Europe,8,1,win
Ghana,High,Africa,Africa,1,1,draw
Sweden,High,Europe,Europe,8,1,win
United Kingdom,High,Europe,Europe,0,1,draw
Serbia,Low,South America,Europe,1,1,win
Germany,High,South America,Europe,2,1,win
Argentina,High,Asia,South America,1,0,draw
Russia,High,Asia,Europe,2,1,win
Brazil,Low,South America,South America,1,0,lose
Mexico,Low,South America,North America,0,0,lose
Portugal,High,Europe,Europe,5,1,win
Brazil,High,Africa,South America,2,1,win
United Kingdom,High,Europe,Europe,1,1,win
Peru,High,South America,South America,0,0,lose
Costa Rica,High,South America,North America,1,1,draw
Argentina,High,Africa,South America,0,1,lose
South Africa,High,Asia,Africa,2,0,draw
Italy,High,Europe,Europe,1,0,draw
United Kingdom,High,Europe,Europe,0,0,lose
Portugal,High,South America,Europe,2,1,win
Belgium,High,North America,Europe,0,0,lose
Germany,High,Europe,Europe,2,0,win
Brazil,High,North America,South America,1,1,draw
Brazil,High,Europe,South America,5,1,win
Brazil,High,North America,South America,1,1,win
United Kingdom,High,Europe,Europe,2,1,win
Belgium,High,North America,Europe,0,1,lose
Germany,High,Europe,Europe,4,1,win
United Kingdom,High,South America,Europe,1,1,lose
Germany,High,Europe,Europe,2,1,win
Bolivia,High,North America,South America,0,0,lose
Uruguay,High,Europe,South America,2,0,lose
United Kingdom,High,Europe,Europe,1,0,draw
Norway,Low,Europe,Europe,1,0,lose
France,High,South America,Europe,0,1,lose
Australia,High,Europe,Oceania,2,0,draw
Peru,High,South America,South America,0,0,lose
Germany,High,North America,Europe,3,1,win
USA,High,Europe,North America,0,0,lose
Netherlands,High,South America,Europe,0,1,draw
USA,High,South America,North America,2,0,win
Iran,High,South America,Asia,1,0,draw
United Kingdom,High,Europe,Europe,0,0,draw
Uruguay,High,Africa,South America,1,0,win
Austria,High,Europe,Europe,2,1,draw
United Kingdom,High,Europe,Europe,0,1,draw
Poland,High,North America,Europe,0,0,draw
Costa Rica,High,Asia,North America,2,0,win
Brazil,High,South America,South America,0,1,draw
Poland,High,Europe,Europe,5,1,win
Slovenia,High,Asia,Europe,1,1,lose
Denmark,High,North America,Europe,1,0,win
Poland,High,Asia,Europe,0,0,lose
Paraguay,High,Europe,South America,0,0,lose
Ghana,High,South America,Africa,1,1,lose
France,Low,Europe,Europe,2,0,lose
France,High,South America,Europe,4,1,win
Germany,High,Europe,Europe,2,1,win
Portugal,High,Europe,Europe,2,1,win
Belgium,High,South America,Europe,1,0,win
Ghana,High,Europe,Africa,0,0,lose
Germany,High,Europe,Europe,2,1,draw
Brazil,High,Africa,South America,3,1,win
Sweden,High,Asia,Europe,1,1,draw
United Kingdom,Low,Europe,Europe,0,1,lose
Uruguay,High,Africa,South America,1,1,draw
Bulgaria,High,North America,Europe,1,0,draw
Russia,Low,South America,Europe,1,1,draw
Chile,High,South America,South America,2,0,lose
United Kingdom,High,North America,Europe,1,1,win
Poland,High,Europe,Europe,1,0,win
Spain,High,Europe,Europe,3,1,win
Switzerland,High,North America,Europe,1,0,draw
USA,High,Europe,North America,1,0,lose
Colombia,High,South America,South America,1,0,lose
Germany,High,Europe,Europe,2,1,win
Bulgaria,High,North America,Europe,2,0,lose
Algeria,High,South America,Africa,1,0,lose
Bulgaria,High,North America,Europe,2,1,win
Nigeria,High,North America,Africa,1,0,lose
Germany,High,North America,Europe,1,1,win
Spain,High,North America,Europe,2,1,draw
Cameroon,High,Europe,Africa,2,1,win
Slovakia,High,Europe,Europe,1,0,draw
USA,High,Asia,North America,0,0,lose
Germany,Low,Asia,Europe,2,0,win
Japan,High,South America,Asia,1,1,lose
Colombia,High,North America,South America,1,0,lose
Serbia,High,South America,Europe,0,0,lose
Argentina,High,Europe,South America,0,0,draw
United Kingdom,High,Europe,Europe,2,0,lose
Portugal,Low,Africa,Europe,7,1,win
Argentina,High,Europe,South America,4,1,win
United Kingdom,High,South America,Europe,3,1,win
Haiti,High,Europe,North America,1,0,lose
Netherlands,High,Europe,Europe,2,0,win
United Kingdom,High,Europe,Europe,0,0,draw
USA,High,Europe,North America,1,1,lose
Italy,High,Europe,Europe,0,0,lose
Bulgaria,High,Europe,Europe,0,0,lose
Argentina,High,South America,South America,1,1,win
Algeria,Low,Africa,Africa,0,1,lose
Italy,High,North America,Europe,1,1,win
Brazil,High,South America,South America,3,1,win
United Kingdom,High,North America,Europe,1,1,lose
Sweden,High,Europe,Europe,1,1,lose
Mexico,High,North America,North America,1,1,draw
Croatia,High,South America,Europe,4,0,win
United Kingdom,High,North America,Europe,0,1,draw
Slovakia,High,Europe,Europe,4,1,win
Mexico,High,North America,North America,1,0,lose
Brazil,High,Europe,South America,4,0,win
Slovakia,Low,Europe,Europe,1,0,lose
Switzerland,High,Europe,Europe,0,0,lose
Mexico,High,South America,North America,1,0,lose
United Kingdom,High,Europe,Europe,2,1,win
Spain,High,Asia,Europe,3,1,win
United Kingdom,High,Europe,Europe,2,1,draw
Morocco,High,North America,Africa,0,1,lose
Slovakia,High,Europe,Europe,0,0,lose
Israel,High,North America,Asia,1,0,draw
South Africa,High,Asia,Africa,2,1,lose
Italy,High,Europe,Europe,1,0,lose
Senegal,High,Asia,Africa,0,1,lose
Italy,High,South America,Europe,2,0,win
Argentina,High,Europe,South America,1,1,win
Russia,High,Europe,Europe,4,0,win
Argentina,High,South America,South America,2,0,lose
Austria,High,Europe,Europe,2,1,win
Brazil,High,Europe,South America,0,1,draw
Cameroon,High,Europe,Africa,1,1,draw
Germany,High,South America,Europe,1,0,win
Brazil,High,Europe,South America,1,1,win
Poland,High,South America,Europe,1,1,win
Australia,High,Europe,Oceania,0,0,lose
Poland,High,Europe,Europe,0,0,lose
South Korea,High,Europe,Asia,2,1,win
Mexico,High,North America,North America,4,1,win
South Africa,High,Europe,Africa,2,1,draw
South Africa,High,Africa,Africa,1,1,draw
Trinidad and Tobago,High,Europe,North America,0,0,lose
Romania,High,Europe,Europe,1,1,draw
Croatia,High,Europe,Europe,0,0,lose
Algeria,Low,Africa,Africa,0,0,draw
Switzerland,High,South America,Europe,2,1,win
United Kingdom,High,Europe,Europe,4,1,win
Uruguay,High,Europe,South America,0,0,lose
Turkey,High,Europe,Asia,7,1,win
France,High,Europe,Europe,2,1,win
Germany,Low,Africa,Europe,0,1,lose
France,High,South America,Europe,3,1,win
Hungary,High,Europe,Europe,9,1,win
Serbia,High,Europe,Europe,1,0,win
Italy,High,South America,Europe,2,1,win
Spain,High,South America,Europe,0,0,lose
Austria,High,Europe,Europe,1,1,win
Spain,High,Africa,Europe,1,1,win
Argentina,High,Europe,South America,1,1,draw
Germany,High,South America,Europe,2,0,lose
Greece,High,South America,Europe,0,0,lose
Uruguay,High,North America,South America,0,0,lose
Norway,High,Europe,Europe,0,0,lose
Croatia,High,Europe,Europe,2,1,draw
Hungary,Low,Europe,Europe,1,0,draw
Ghana,High,Africa,Africa,1,0,draw
Argentina,High,Europe,South America,2,1,win
Brazil,High,North America,South America,3,1,win
Belgium,High,Europe,Europe,4,0,draw
United Arab Emirates,High,Europe,Asia,0,1,lose
United Kingdom,High,North America,Europe,0,1,draw
Greece,High,North America,Europe,0,0,lose
France,High,Europe,Europe,1,0,win
Sweden,High,Europe,Europe,1,0,lose
United Kingdom,High,Europe,Europe,2,0,draw
Iraq,High,North America,Asia,0,0,lose
Netherlands,Low,Europe,Europe,1,1,lose
Tunisia,High,Asia,Africa,1,1,draw
Switzerland,Low,Europe,Europe,2,0,lose
Uruguay,High,North America,South America,1,1,win
Russia,High,North America,Europe,0,0,lose
Peru,High,South America,South America,3,1,win
Croatia,High,Asia,Europe,0,0,lose
Colombia,High,Europe,South America,1,1,win
Peru,High,North America,South America,3,1,win
Spain,High,Europe,Europe,0,0,draw
Argentina,High,Europe,South America,0,0,draw
Chile,High,Europe,South America,1,0,lose
Germany,High,Europe,Europe,2,1,win
Russia,Low,South America,Europe,1,0,draw
Brazil,High,Europe,South America,1,0,lose
Germany,High,Europe,Europe,4,1,win
Serbia,Low,Europe,Europe,3,1,win
Bulgaria,High,North America,Europe,1,1,draw
Cameroon,High,Europe,Africa,0,0,lose
Nigeria,High,Europe,Africa,1,1,lose
United Kingdom,High,Europe,Europe,3,1,win
France,Low,Europe,Europe,1,0,lose
Mexico,High,North America,North America,1,1,win
Nigeria,High,South America,Africa,0,0,lose
Italy,High,Europe,Europe,2,0,win
USA,High,Europe,North America,0,0,lose
Brazil,High,South America,South America,1,1,lose
Netherlands,Low,Europe,Europe,2,1,win
South Korea,High,Africa,Asia,2,0,draw
Jamaica,High,Europe,North America,2,0,win
Brazil,Low,South America,South America,6,1,win
Belgium,High,Asia,Europe,1,0,draw
France,High,South America,Europe,0,0,lose
Greece,High,South America,Europe,2,1,win
Costa Rica,High,South America,North America,1,0,win
Argentina,High,Europe,South America,2,1,win
France,High,Europe,Europe,1,0,lose
Serbia,Low,Europe,Europe,1,1,win
Uruguay,High,South America,South America,8,1,win
Brazil,High,South America,South America,3,1,win
Italy,High,Europe,Europe,3,1,win
Honduras,High,Europe,North America,0,1,lose
Japan,High,South America,Asia,1,0,lose
Netherlands,High,Europe,Europe,2,0,win
Sweden,High,Europe,Europe,2,0,lose
Argentina,High,Asia,South America,1,1,win
United Kingdom,High,Europe,Europe,5,1,win
United Kingdom,High,North America,Europe,0,1,lose
Chile,High,South America,South America,0,0,lose
Brazil,High,North America,South America,4,1,win
Belgium,High,South America,Europe,2,1,win
Germany,High,Europe,Europe,5,1,win
Brazil,High,Europe,South America,4,1,win
Belgium,Low,Europe,Europe,1,0,lose
Poland,High,Europe,Europe,2,1,win
Italy,High,Europe,Europe,1,1,draw
Russia,Low,South America,Europe,0,0,lose
Mexico,High,South America,North America,0,0,lose
Spain,High,Asia,Europe,3,1,win
Slovenia,High,Africa,Europe,1,0,win
Germany,High,South America,Europe,2,1,draw
France,High,Europe,Europe,1,0,lose
Italy,Low,Africa,Europe,1,1,draw
France,High,North America,Europe,1,1,draw
United Kingdom,Low,Europe,Europe,2,1,win
Poland,High,South America,Europe,1,1,win
Cameroon,Low,South America,Africa,0,0,lose
Morocco,High,North America,Africa,1,0,draw
Russia,Low,Europe,Europe,1,0,lose
Switzerland,High,Europe,Europe,5,0,lose
Serbia,High,Europe,Europe,0,0,lose
Mexico,High,Europe,North America,1,0,lose
Netherlands,High,Africa,Europe,0,1,lose
Kuwait,High,Europe,Asia,0,0,lose
Spain,High,South America,Europe,1,0,lose
Brazil,High,Europe,South America,2,1,win
United Kingdom,Low,Europe,Europe,1,0,lose
Netherlands,High,Europe,Europe,0,0,lose
Sweden,Low,North America,Europe,0,0,lose
