Team,Average Age,Host,Continent,Goals,Home Team,Result
Romania,High,Europe,Europe,3,0,draw
Egypt,High,Europe,Africa,1,0,draw
Tunisia,High,South America,Africa,3,1,win
Italy,High,Europe,Europe,1,1,win
Japan,High,Asia,Asia,1,1,win
Norway,High,Europe,Europe,1,0,draw
Sweden,High,North America,Europe,0,1,lose
Argentina,Low,Europe,South America,6,1,win
Australia,High,Europe,Oceania,0,0,lose
United Kingdom,High,Europe,Europe,0,0,draw
Spain,High,Europe,Europe,1,0,draw
France,High,South America,Europe,3,1,win
United Kingdom,High,Europe,Europe,1,1,draw
Brazil,High,Europe,South America,4,1,win
Germany,High,Europe,Europe,4,1,win
Germany,High,Europe,Europe,1,0,lose
Honduras,High,Africa,North America,0,0,draw
Germany,High,Europe,Europe,3,0,lose
Brazil,High,Europe,South America,2,1,win
Turkey,High,Asia,Asia,1,0,win
Belgium,High,Europe,Europe,0,1,lose
Sweden,High,Europe,Europe,0,1,draw
United Kingdom,High,Europe,Europe,2,0,draw
Argentina,Low,South America,South America,0,1,draw
South Korea,High,Europe,Asia,0,0,lose
Belgium,Low,Europe,Europe,2,0,lose
Morocco,High,North America,Africa,1,0,lose
Uruguay,High,Europe,South America,1,0,win
Germany,High,Europe,Europe,5,1,win
Belgium,Low,North America,Europe,2,0,draw
Croatia,High,South America,Europe,1,1,lose
Austria,High,Europe,Europe,1,0,win
Paraguay,High,Europe,South America,0,0,lose
Bulgaria,High,Europe,Europe,0,0,draw
Chile,Low,South America,South America,0,0,lose
Algeria,High,Europe,Africa,2,0,win
Costa Rica,High,Europe,North America,2,0,win
USA,Low,South America,North America,1,1,win
Italy,High,South America,Europe,1,1,win
El Salvador,High,Europe,North America,0,0,lose
Belgium,High,Europe,Europe,1,1,draw
Mexico,Low,South America,North America,3,1,win
Spain,Low,South America,Europe,1,0,lose
Nigeria,High,Europe,Africa,1,1,lose
Morocco,High,North America,Africa,3,0,win
Sweden,High,Europe,Europe,0,0,draw
Morocco,High,North America,Africa,1,0,lose
Costa Rica,High,South America,North America,1,1,draw
South Korea,High,Asia,Asia,0,0,lose
Saudi Arabia,High,Europe,Asia,2,0,draw
Italy,High,Europe,Europe,2,0,win
Germany,High,Europe,Europe,3,1,win
Argentina,High,Europe,South America,2,0,lose
France,High,Europe,Europe,2,1,win
Germany,High,South America,Europe,0,1,draw
France,High,South America,Europe,2,1,win
Mexico,High,Europe,North America,1,0,lose
Japan,High,Europe,Asia,0,1,draw
Japan,High,Europe,Asia,1,1,lose
Italy,Low,South America,Europe,3,1,win
Saudi Arabia,High,North America,Asia,1,1,lose
Hungary,High,South America,Europe,0,1,draw
Czech Republic,High,Europe,Europe,0,1,lose
New Zealand,High,Europe,Oceania,0,0,lose
Argentina,High,Africa,South America,1,1,win
Russia,High,Europe,Europe,1,0,win
Belgium,High,Europe,Europe,0,0,draw
Uruguay,High,South America,South America,4,1,win
Brazil,High,South America,South America,0,0,draw
Ivory Coast,High,South America,Africa,1,0,lose
Peru,High,South America,South America,0,0,draw
United Kingdom,High,Europe,Europe,2,1,win
Germany,High,North America,Europe,1,1,win
Ghana,High,Africa,Africa,2,0,win
USA,High,North America,North America,0,0,lose
Argentina,Low,South America,South America,6,1,win
Denmark,High,Asia,Europe,1,1,draw
Cuba,High,Europe,North America,3,1,draw
Mexico,Low,Europe,North America,0,0,draw
Ivory Coast,High,Africa,Africa,3,0,win
United Kingdom,High,North America,Europe,0,1,draw
Russia,High,Asia,Europe,2,0,lose
Croatia,High,Europe,Europe,2,0,win
Austria,High,Europe,Europe,2,1,win
Algeria,High,Europe,Africa,0,1,lose
United Kingdom,High,Europe,Europe,1,1,win
Hungary,Low,Europe,Europe,5,1,win
Italy,High,Asia,Europe,1,1,lose
Chile,High,South America,South America,1,0,lose
Canada,High,North America,North America,0,0,lose
USA,Low,South America,North America,1,0,lose
Nigeria,High,Africa,Africa,2,1,draw
United Kingdom,High,Europe,Europe,2,1,win
Bulgaria,High,Europe,Europe,0,0,lose
Togo,High,Europe,Africa,1,0,lose
Uruguay,High,North America,South America,1,0,lose
Hungary,Low,North America,Europe,2,1,win
Peru,High,Europe,South America,1,0,lose
Brazil,Low,South America,South America,2,1,draw
Brazil,High,North America,South America,3,1,win
Romania,High,Europe,Europe,1,0,lose
Egypt,High,Europe,Africa,0,0,draw
Uruguay,High,Europe,South America,0,1,lose
United Kingdom,High,Europe,Europe,1,0,lose
Serbia,High,Europe,Europe,1,0,lose
Netherlands,High,South America,Europe,0,1,draw
United Kingdom,High,Europe,Europe,0,1,draw
Ivory Coast,High,Europe,Africa,3,1,win
Slovakia,High,Europe,Europe,1,0,lose
France,High,South America,Europe,1,0,lose
Switzerland,High,South America,Europe,0,0,lose
Germany,High,Europe,Europe,2,0,lose
France,High,Europe,Europe,0,1,draw
Argentina,High,Africa,South America,2,0,win
Germany,Low,Asia,Europe,1,1,draw
Costa Rica,High,South America,North America,0,1,draw
France,High,Europe,Europe,3,1,win
Spain,High,North America,Europe,0,1,lose
Russia,High,Europe,Europe,0,0,lose
South Korea,Low,South America,Asia,1,0,draw
Iran,High,South America,Asia,1,0,lose
Spain,High,Europe,Europe,0,1,draw
Mexico,High,South America,North America,0,0,lose
Brazil,High,Europe,South America,2,1,win
Romania,High,Europe,Europe,1,0,lose
Morocco,High,North America,Africa,0,0,lose
Germany,High,Europe,Europe,0,1,draw
United Kingdom,Low,Europe,Europe,2,0,win
Brazil,High,Europe,South America,4,1,win
Mexico,High,North America,North America,0,1,draw
Chile,High,South America,South America,0,0,lose
Poland,High,South America,Europe,1,0,lose
Germany,High,Europe,Europe,1,0,win
Romania,High,Europe,Europe,2,1,win
United Kingdom,High,South America,Europe,2,1,win
Argentina,Low,South America,South America,2,1,win
Netherlands,High,Europe,Europe,4,0,win
Peru,High,North America,South America,3,1,win
Saudi Arabia,High,Asia,Asia,0,0,lose
USA,High,Europe,North America,1,1,lose
Russia,Low,Europe,Europe,3,1,win
Germany,High,South America,Europe,1,0,win
Belgium,High,South America,Europe,2,1,win
Switzerland,High,Europe,Europe,2,0,win
Italy,High,South America,Europe,1,0,lose
Portugal,High,Asia,Europe,4,1,win
Cameroon,Low,South America,Africa,0,1,lose
Bulgaria,High,North America,Europe,1,1,lose
Colombia,High,Europe,South America,1,0,draw
Cuba,High,Europe,North America,2,1,win
Honduras,High,Africa,North America,0,1,lose
Spain,High,Africa,Europe,2,1,win
Slovakia,High,Africa,Europe,3,1,win
Netherlands,High,South America,Europe,2,1,win
South Korea,High,Asia,Asia,1,0,win
Saudi Arabia,High,Asia,Asia,0,0,lose
Argentina,High,Europe,South America,4,1,win
Switzerland,High,South America,Europe,1,0,lose
Italy,High,Europe,Europe,1,1,draw
Slovakia,High,Europe,Europe,6,1,win
Brazil,High,Asia,South America,5,0,win
Slovakia,High,Europe,Europe,1,1,draw
Australia,High,Europe,Oceania,0,1,draw
Saudi Arabia,High,Europe,Asia,0,1,lose
Serbia,High,Europe,Europe,1,0,lose
Ukraine,High,Europe,Europe,0,0,draw
Argentina,High,North America,South America,2,1,win
Haiti,High,Europe,North America,0,1,lose
Denmark,High,North America,Europe,1,1,lose
Italy,High,North America,Europe,4,1,win
Sweden,High,South America,Europe,2,1,draw
France,High,Europe,Europe,1,0,win
Belgium,Low,Europe,Europe,2,1,win
Argentina,High,North America,South America,2,1,win
Brazil,High,Asia,South America,1,1,win
Austria,High,Europe,Europe,5,1,win
Spain,High,Europe,Europe,3,1,win
Algeria,High,North America,Africa,0,0,lose
USA,High,South America,North America,0,1,lose
Cameroon,Low,South America,Africa,1,1,lose
Slovakia,High,Europe,Europe,1,0,lose
United Kingdom,High,Europe,Europe,0,0,lose
Mexico,High,Europe,North America,3,0,win
Russia,Low,Europe,Europe,2,1,win
Germany,Low,Asia,Europe,8,1,win
Nigeria,High,Africa,Africa,1,0,lose
Serbia,Low,Europe,Europe,0,0,lose
United Kingdom,High,Europe,Europe,1,0,lose
Bulgaria,High,South America,Europe,0,0,lose
United Kingdom,High,Europe,Europe,0,0,lose
Costa Rica,High,Europe,North America,1,0,lose
Italy,High,Europe,Europe,1,1,win
Slovakia,Low,Europe,Europe,1,0,draw
Germany,High,Europe,Europe,1,1,win
Argentina,High,Europe,South America,3,1,win
Argentina,High,South America,South America,0,0,lose
Austria,High,South America,Europe,0,0,lose
Russia,High,Europe,Europe,1,1,win
Netherlands,High,South America,Europe,3,0,win
Chile,Low,South America,South America,5,1,win
Uruguay,High,South America,South America,2,1,draw
Argentina,High,North America,South America,1,0,draw
Switzerland,High,South America,Europe,0,0,lose
Italy,High,Europe,Europe,2,1,win
Paraguay,High,Asia,South America,0,0,lose
Belgium,High,North America,Europe,2,0,lose
Costa Rica,High,Europe,North America,1,1,win
Argentina,Low,Europe,South America,0,0,draw
Germany,High,Europe,Europe,4,1,win
United Kingdom,Low,Europe,Europe,1,1,draw
Poland,High,South America,Europe,0,0,draw
Ghana,High,Europe,Africa,2,0,win
United Kingdom,High,Africa,Europe,1,0,lose
Germany,High,Europe,Europe,1,0,draw
Spain,High,South America,Europe,0,1,lose
Bulgaria,High,North America,Europe,0,0,lose
South Africa,High,Asia,Africa,1,1,win
Slovakia,High,South America,Europe,1,0,lose
Belgium,High,Asia,Europe,3,1,win
Austria,High,Europe,Europe,0,0,lose
France,Low,Europe,Europe,0,0,lose
South Korea,High,North America,Asia,2,0,draw
Germany,Low,North America,Europe,1,0,draw
Uruguay,High,Asia,South America,0,0,draw
Belgium,Low,Europe,Europe,0,0,lose
Ivory Coast,High,South America,Africa,2,1,win
Ukraine,High,Europe,Europe,1,1,win
Ecuador,High,Asia,South America,1,0,lose
Turkey,High,Asia,Asia,1,0,draw
United Kingdom,High,North America,Europe,1,0,draw
Portugal,Low,Africa,Europe,0,0,lose
Hungary,High,Europe,Europe,4,1,win
Spain,High,North America,Europe,3,0,win
Brazil,High,North America,South America,1,0,win
Germany,High,Europe,Europe,1,1,draw
Peru,High,South America,South America,4,1,win
Italy,Low,North America,Europe,1,1,draw
USA,High,Europe,North America,0,1,lose
Poland,High,South America,Europe,3,1,win
Spain,High,South America,Europe,1,1,lose
Bulgaria,High,North America,Europe,4,1,win
Colombia,High,South America,South America,4,0,draw
Belgium,High,Europe,Europe,1,0,lose
Bulgaria,High,North America,Europe,2,0,win
Hungary,High,Europe,Europe,3,1,win
South Africa,High,Africa,Africa,2,0,win
France,High,South America,Europe,0,1,lose
Bulgaria,High,Europe,Europe,0,0,draw
Greece,High,Africa,Europe,2,1,win
Sweden,High,North America,Europe,4,1,win
Brazil,High,Europe,South America,6,1,win
Mexico,High,Asia,North America,1,1,draw
Belgium,Low,North America,Europe,1,1,lose
Argentina,High,Europe,South America,2,1,win
Mexico,High,Europe,North America,2,0,draw
Bulgaria,High,South America,Europe,1,0,lose
Mexico,High,Europe,North America,0,0,lose
France,High,Europe,Europe,4,1,win
Mexico,High,North America,North America,1,1,draw
Denmark,High,Africa,Europe,1,1,lose
Brazil,High,Africa,South America,0,0,draw
Brazil,High,North America,South America,1,1,win
Mexico,High,North America,North America,1,0,draw
Denmark,High,North America,Europe,2,1,win
Germany,High,North America,Europe,1,0,lose
Italy,High,South America,Europe,0,0,draw
El Salvador,High,North America,North America,0,0,lose
Uruguay,High,South America,South America,3,1,win
Argentina,High,North America,South America,3,1,win
United Kingdom,High,Europe,Europe,1,1,win
USA,High,North America,North America,0,1,lose
Slovakia,High,South America,Europe,1,1,win
Germany,Low,Africa,Europe,3,0,win
Argentina,Low,South America,South America,2,1,win
United Arab Emirates,High,Europe,Asia,1,0,lose
Paraguay,Low,South America,South America,1,1,win
Austria,High,Europe,Europe,1,0,lose
Algeria,High,North America,Africa,0,1,lose
El Salvador,High,North America,North America,0,0,lose
Switzerland,High,South America,Europe,0,0,lose
Argentina,High,Europe,South America,1,1,draw
Germany,High,North America,Europe,2,1,win
Sweden,High,Europe,Europe,3,1,win
Serbia,High,Europe,Europe,0,1,lose
United Kingdom,High,Europe,Europe,1,1,win
New Zealand,High,Africa,Oceania,1,1,draw
South Korea,High,Europe,Asia,0,0,lose
France,High,South America,Europe,2,1,win
South Africa,High,Africa,Africa,0,1,lose
Brazil,High,Europe,South America,1,1,draw
Argentina,High,Europe,South America,5,1,win
Austria,High,Europe,Europe,2,0,win
Germany,Low,Asia,Europe,1,1,win
Argentina,High,Europe,South America,1,0,win
Italy,High,Europe,Europe,0,1,draw
France,Low,Europe,Europe,7,1,win
Spain,High,North America,Europe,3,1,win
Uruguay,High,Europe,South America,0,1,draw
Colombia,High,South America,South America,1,0,lose
Tunisia,High,Europe,Africa,2,1,draw
Brazil,High,Asia,South America,2,0,win
France,High,Europe,Europe,4,1,win
France,High,Europe,Europe,2,0,win
Belgium,Low,North America,Europe,2,0,lose
Mexico,High,South America,North America,1,0,lose
Italy,High,South America,Europe,3,1,win
Brazil,High,Europe,South America,2,1,win
Argentina,High,North America,South America,2,0,lose
Hungary,Low,North America,Europe,0,0,lose
Serbia,Low,South America,Europe,3,1,win
Tunisia,High,Europe,Africa,1,0,lose
Serbia,High,Europe,Europe,1,1,win
Chile,High,Europe,South America,1,1,draw
Portugal,High,Europe,Europe,1,0,win
Chile,High,South America,South America,2,1,win
Chile,Low,South America,South America,0,0,lose
Ecuador,High,Europe,South America,0,0,lose
Bulgaria,High,Europe,Europe,1,0,lose
Switzerland,High,Europe,Europe,2,1,win
Japan,High,Europe,Asia,0,1,lose
Ghana,High,South America,Africa,2,0,draw
Mexico,High,North America,North America,1,0,win
Germany,High,North America,Europe,3,1,win
Germany,High,Europe,Europe,0,0,lose
Portugal,High,North America,Europe,1,1,win
United Kingdom,High,Asia,Europe,1,1,lose
South Korea,High,North America,Asia,2,0,lose
Switzerland,High,South America,Europe,3,0,win
Germany,Low,Africa,Europe,4,1,win
Spain,High,Africa,Europe,1,0,win
Portugal,High,Europe,Europe,3,1,win
Poland,High,Asia,Europe,0,0,lose
Serbia,High,Europe,Europe,1,0,draw
Slovakia,High,Africa,Europe,0,1,lose
Sweden,High,Europe,Europe,2,1,win
Romania,High,North America,Europe,1,0,win
Brazil,High,North America,South America,4,1,win
Denmark,High,Europe,Europe,1,0,win
Ivory Coast,High,Africa,Africa,1,0,lose
Spain,High,Europe,Europe,2,1,win
Denmark,High,North America,Europe,6,1,win
South Korea,High,North America,Asia,1,0,lose
Australia,High,Africa,Oceania,2,1,win
Germany,Low,South America,Europe,2,1,win
Italy,High,North America,Europe,0,1,lose
Cameroon,High,Europe,Africa,1,0,win
Mexico,High,Asia,North America,0,1,lose
France,High,Europe,Europe,0,0,draw
United Kingdom,High,North America,Europe,0,0,lose
Senegal,High,Asia,Africa,3,1,draw
Hungary,High,Europe,Europe,4,1,win
Hungary,High,Europe,Europe,1,0,lose
Slovakia,High,Europe,Europe,3,1,win
Costa Rica,High,South America,North America,3,0,win
Argentina,High,Europe,South America,0,0,lose
United Kingdom,High,Europe,Europe,2,1,win
United Kingdom,High,South America,Europe,0,1,draw
Colombia,High,South America,South America,1,0,lose
Uruguay,High,Europe,South America,7,1,win
Russia,Low,Europe,Europe,2,1,win
Sweden,High,Europe,Europe,2,1,win
Slovakia,High,Europe,Europe,2,1,win
United Kingdom,High,Europe,Europe,3,1,win
Austria,High,Europe,Europe,0,1,lose
Norway,High,Europe,Europe,2,0,win
Spain,High,South America,Europe,2,1,win
Slovakia,High,South America,Europe,0,0,draw
Russia,High,Europe,Europe,0,0,draw
Cameroon,High,Africa,Africa,1,1,lose
Portugal,High,Europe,Europe,2,1,win
Paraguay,High,Asia,South America,2,1,draw
Uruguay,High,Europe,South America,2,1,win
Mexico,High,Africa,North America,1,0,draw
Uruguay,High,Europe,South America,1,0,lose
Netherlands,Low,Europe,Europe,2,1,win
Italy,High,Europe,Europe,0,1,draw
Italy,High,North America,Europe,0,0,draw
Germany,High,South America,Europe,0,1,draw
Austria,High,Europe,Europe,0,1,lose
France,High,Africa,Europe,0,1,lose
Paraguay,High,Europe,South America,3,1,draw
Denmark,High,Asia,Europe,2,0,win
United Kingdom,High,North America,Europe,1,0,lose
United Kingdom,High,South America,Europe,0,0,lose
Austria,High,Europe,Europe,3,1,win
Spain,High,Europe,Europe,2,1,lose
Serbia,Low,Europe,Europe,1,0,draw
United Kingdom,High,Asia,Europe,3,0,win
Uruguay,High,Asia,South America,1,1,lose
Serbia,High,Europe,Europe,2,0,lose
Germany,Low,South America,Europe,0,0,lose
Nigeria,High,North America,Africa,1,1,lose
Italy,High,Europe,Europe,2,0,win
Germany,High,Europe,Europe,0,1,lose
Slovakia,High,Europe,Europe,0,0,lose
Italy,Low,Africa,Europe,1,1,draw
Italy,High,Europe,Europe,1,1,draw
Argentina,High,Europe,South America,1,0,lose
Honduras,High,South America,North America,0,1,lose
Chile,High,Europe,South America,1,0,lose
Switzerland,High,North America,Europe,0,1,lose
Russia,High,Europe,Europe,2,1,draw
Serbia,Low,Europe,Europe,1,0,lose
Bulgaria,High,Europe,Europe,0,0,lose
USA,High,Europe,North America,0,1,lose
Argentina,High,Europe,South America,1,1,draw
Croatia,High,Europe,Europe,1,0,win
Romania,High,Europe,Europe,2,0,win
United Kingdom,High,Asia,Europe,1,0,draw
Australia,High,Europe,Oceania,3,1,win
Germany,High,Europe,Europe,3,1,draw
Argentina,High,North America,South America,4,1,win
Spain,High,Asia,Europe,1,1,draw
Switzerland,High,North America,Europe,0,0,lose
Bulgaria,High,North America,Europe,1,1,draw
France,High,Asia,Europe,0,1,lose
Serbia,High,Europe,Europe,1,0,lose
Serbia,High,Europe,Europe,1,0,lose
Argentina,High,Europe,South America,2,1,win
South Korea,High,Africa,Asia,0,0,lose
Uruguay,High,North America,South America,1,1,draw
Germany,Low,Africa,Europe,4,1,win
New Zealand,High,Europe,Oceania,2,0,lose
USA,High,North America,North America,2,1,win
Slovakia,Low,North America,Europe,1,0,lose
Hungary,High,Europe,Europe,4,1,win
Croatia,High,Europe,Europe,0,0,lose
Paraguay,High,North America,South America,0,0,lose
Poland,High,Europe,Europe,2,0,win
USA,High,Asia,North America,1,0,lose
Croatia,High,South America,Europe,1,0,lose
United Kingdom,High,Europe,Europe,1,1,win
Spain,High,South America,Europe,2,0,draw
Turkey,High,Asia,Asia,3,0,win
Paraguay,High,Europe,South America,3,0,lose
Japan,High,South America,Asia,0,1,draw
Chile,High,Europe,South America,2,0,lose
Uruguay,High,Africa,South America,2,1,lose
Austria,High,Europe,Europe,0,0,lose
United Kingdom,High,Europe,Europe,2,0,draw
Denmark,High,Africa,Europe,2,0,win
Italy,Low,Africa,Europe,2,0,lose
Honduras,High,South America,North America,1,1,lose
South Korea,High,Europe,Asia,0,1,lose
Ghana,High,Africa,Africa,0,1,lose
Paraguay,High,Europe,South America,0,0,lose
Germany,Low,Asia,Europe,1,1,win
Democratic Republic of the Congo,High,Europe,Africa,0,1,lose
Italy,High,Europe,Europe,2,1,win
Hungary,High,South America,Europe,6,1,win
Germany,Low,Africa,Europe,1,0,win
Uruguay,High,Europe,South America,0,1,draw
Spain,High,Europe,Europe,2,0,win
Spain,High,Africa,Europe,1,0,win
Austria,High,South America,Europe,1,0,lose
Russia,High,North America,Europe,0,0,draw
Turkey,High,Europe,Asia,2,0,lose
United Kingdom,High,North America,Europe,2,0,lose
Brazil,High,Europe,South America,1,1,lose
Italy,High,Europe,Europe,2,1,win
South Korea,High,Asia,Asia,2,1,win
Nigeria,High,South America,Africa,1,1,win
Brazil,High,South America,South America,0,1,draw
Paraguay,High,Europe,South America,3,0,win
Italy,High,Europe,Europe,1,1,draw
Argentina,Low,Europe,South America,1,0,draw
Uruguay,High,North America,South America,0,0,lose
Chile,High,Africa,South America,1,1,lose
Argentina,High,South America,South America,6,1,win
Argentina,High,Europe,South America,2,1,draw
South Korea,High,Europe,Asia,0,0,lose
Algeria,High,North America,Africa,1,1,draw
Spain,High,Europe,Europe,2,1,win
Argentina,High,Europe,South America,2,0,lose
Spain,High,Europe,Europe,1,1,lose
Poland,High,Europe,Europe,3,1,win
Brazil,High,Europe,South America,2,0,lose
Bosnia and Herzegovina,High,South America,Europe,3,1,win
Belgium,Low,Europe,Europe,1,1,lose
Romania,High,Europe,Europe,1,1,win
Sweden,Low,Europe,Europe,3,1,win
Argentina,Low,South America,South America,3,1,win
Germany,High,South America,Europe,4,1,win
Bolivia,High,South America,South America,0,0,lose
Morocco,High,North America,Africa,0,1,draw
Cameroon,High,Europe,Africa,2,0,lose
Brazil,High,North America,South America,1,1,draw
Nigeria,High,South America,Africa,0,0,lose
Paraguay,High,South America,South America,0,0,lose
Argentina,High,South America,South America,3,1,win
Sweden,High,Europe,Europe,3,1,win
Poland,High,Europe,Europe,0,1,lose
United Kingdom,High,Europe,Europe,2,0,lose
United Kingdom,High,Asia,Europe,1,0,draw
Argentina,High,South America,South America,1,1,win
Iran,High,Europe,Asia,1,1,draw
Austria,High,South America,Europe,0,0,lose
Greece,High,North America,Europe,0,1,lose
Portugal,High,Europe,Europe,1,0,lose
Saudi Arabia,High,Europe,Asia,0,0,lose
China,High,Asia,Asia,0,0,lose
Iran,High,South America,Asia,0,1,draw
Serbia,Low,Europe,Europe,2,0,win
Bulgaria,High,North America,Europe,0,0,lose
Chile,High,South America,South America,3,1,win
Belgium,High,South America,Europe,0,0,lose
Denmark,High,Europe,Europe,2,0,lose
Bolivia,High,North America,South America,0,0,draw
Italy,High,Europe,Europe,3,1,win
Spain,High,North America,Europe,1,0,draw
Austria,High,Europe,Europe,1,0,lose
Spain,High,South America,Europe,1,0,lose
Nigeria,High,Europe,Africa,3,0,win
Uruguay,High,South America,South America,1,0,lose
Bulgaria,High,North America,Europe,0,0,lose
Trinidad and Tobago,High,Europe,North America,0,0,lose
Norway,High,North America,Europe,1,1,win
Uruguay,High,South America,South America,1,1,win
Netherlands,High,Europe,Europe,1,0,lose
Serbia,Low,South America,Europe,1,0,lose
Sweden,High,Asia,Europe,1,1,lose
Poland,High,Europe,Europe,1,0,win
Morocco,High,Europe,Africa,2,1,draw
Belgium,High,North America,Europe,3,1,win
Netherlands,High,Europe,Europe,4,1,win
Brazil,High,Europe,South America,0,1,draw
Italy,High,Europe,Europe,2,1,win
Italy,Low,South America,Europe,2,1,win
Argentina,High,South America,South America,0,0,draw
Czech Republic,High,Europe,Europe,3,0,win
Greece,High,North America,Europe,0,0,lose
Mexico,High,South America,North America,3,0,lose
Paraguay,High,Africa,South America,0,1,draw
USA,High,South America,North America,3,1,win
Serbia,Low,Europe,Europe,1,1,win
Italy,Low,North America,Europe,0,1,lose
Uruguay,High,Europe,South America,4,1,win
Argentina,High,Europe,South America,1,0,lose
Hungary,Low,Europe,Europe,2,1,win
Spain,High,South America,Europe,3,0,win
Croatia,High,Europe,Europe,1,0,win
New Zealand,High,Africa,Oceania,1,0,draw
Brazil,Low,South America,South America,7,1,win
Italy,High,South America,Europe,0,1,lose
United Kingdom,High,North America,Europe,1,0,win
Cameroon,High,Europe,Africa,1,0,draw
Egypt,Low,Europe,Africa,2,0,lose
Argentina,Low,South America,South America,0,0,lose
Uruguay,High,Africa,South America,2,1,win
Slovakia,Low,North America,Europe,0,0,lose
Austria,High,Europe,Europe,0,0,lose
United Kingdom,High,Africa,Europe,1,0,win
Paraguay,High,Africa,South America,1,0,draw
Hungary,High,Europe,Europe,4,1,win
Netherlands,High,South America,Europe,0,1,draw
Argentina,High,South America,South America,3,0,win
Poland,High,North America,Europe,0,0,lose
Germany,High,Europe,Europe,2,1,win
Croatia,High,Asia,Europe,0,1,lose
Colombia,High,South America,South America,2,1,win
Turkey,High,Europe,Asia,1,0,lose
Turkey,High,Asia,Asia,1,0,lose
Switzerland,High,Europe,Europe,1,0,lose
Russia,High,North America,Europe,0,0,lose
Brazil,High,South America,South America,2,1,win
Russia,High,North America,Europe,6,1,win
Colombia,High,Europe,South America,0,1,lose
Chile,High,Europe,South America,0,0,draw
Bulgaria,High,Europe,Europe,1,1,lose
USA,High,Africa,North America,1,1,win
